Handle,Command,Title,Tags,Tags Command,Smart Collections,Status,Published,Metafield: custom.tea_type [single_line_text_field],Metafield: custom.ingredients [multi_line_text_field],Metafield: custom.aroma [single_line_text_field],Metafield: custom.liquor_colour [single_line_text_field],Metafield: custom.certifications [single_line_text_field],Metafield: custom.contains_caffeine [single_line_text_field],Metafield: custom.origin [single_line_text_field],Metafield: custom.allergens [multi_line_text_field],Metafield: custom.storage [single_line_text_field],Body HTML,Metafield: custom.tasting_notes [single_line_text_field],Metafield: custom.best_enjoyed [single_line_text_field]
ginger-turmeric-lemongrass-wellness-tea,MERGE,Ginger Turmeric Lemongrass Wellness Tea,"Category_Tea, Function_Gut Reset, Function_Immunity",MERGE,All Teas; Gut Reset; Immunity,active,TRUE,,,,,,,,,,,,
hibiscus-punch-herbal-tea,MERGE,Hibiscus Punch Herbal Tea,"Category_Tea, Function_Detox, Function_Immunity, Type_Herbal Tea",MERGE,All Teas; Detox; Herbal Tea; Immunity,active,TRUE,"Herbal, caffeine free",,,,,,Egypt,,,"<p>Some teas are subtle. This one is not. Deep ruby red, naturally tart, and packed with Vitamin C from hibiscus, cranberries, and blackcurrants. Caffeine free and bold as anything hot, cold, or straight over ice. One sip and you&#x27;ll get it.</p>","Tart, fruity, deep with a cranberry-hibiscus finish",Any time of day hot or cold brewed over ice
japanese-genmaicha-green-tea,MERGE,Japanese Genmaicha Green Tea,"Category_Tea, Function_Focus and Energy, Type_Green Tea",MERGE,All Teas; Focus and Energy; Green Tea,active,TRUE,"Green Tea, roasted rice blend",,,,,,Japan,,,"<p>Green tea got a glow-up. Our Genmaicha blends smooth Japanese green tea with toasted brown rice for a warm, nutty cup that&#x27;s comforting, light on caffeine, and completely unlike anything else in your collection.</p>","Nutty, toasty, smooth with a hint of green freshness","Morning or afternoon, perfect on its own or alongside a meal"
japanese-sencha-green-tea,MERGE,Japanese Sencha Green Tea,"Category_Tea, Function_Focus and Energy, Type_Green Tea",MERGE,All Teas; Focus and Energy; Green Tea,active,TRUE,Green Tea,,,,,,Japan,,,"<p>Japan&#x27;s go-to green tea for a reason. Steamed fresh after harvest, our Sencha delivers a crisp, vibrant cup with subtle sweetness and smooth, natural energy. Light, refreshing, and easy to love, your new daily ritual in a cup.</p>","Fresh, grassy, lightly sweet with a clean finish","Morning or afternoon, on its own, never with milk"
lemon-ginger-circus-wellness-tea,MERGE,Lemon Ginger Circus Wellness Tea,"Category_Tea, Function_Detox, Function_Gut Reset",MERGE,All Teas; Detox; Gut Reset,active,TRUE,,,,,,,,,,,,
mango-turmeric-tulsi-wellness-tea,MERGE,Mango Turmeric Tulsi Wellness Tea,"Category_Tea, Function_Immunity, Function_Wind down",MERGE,All Teas; Immunity; Wind down,active,TRUE,,,,,,,,,,,,
masala-chai-black-tea,MERGE,Masala Chai Black Tea,"Category_Tea, Type_Chai",MERGE,All Teas; Chai,active,TRUE,"Black, spiced blend",,,,,,"Assam, India",,,"<p>Bold Assam black tea, whole spices, and zero shortcuts. Our Masala Chai is warming, rich, and deeply satisfying, the kind of cup that lingers long enough to make you want another. Brew it strong, add steamed milk, and let it do its thing.</p>","Warm, bold, spiced with a sweet finish",Morning or afternoon on its own or as a chai latte
moroccan-mint-iced-tea,MERGE,Moroccan Mint Iced Tea,"Category_Tea, Type_Iced Tea",MERGE,All Teas; Iced Tea,active,TRUE,"Green, iced",,,,,,,,,"<p>Fresh, cool, and effortlessly refreshing. Organic green tea meets mint and green rooibos for a light, crisp brew that&#x27;s as good hot as it is ice cold. Inspired by the mint teas of North Africa, simple, clean, and impossible to put down.</p>","Fresh, minty, light with a clean green tea base",Cold over ice morning or afternoon
mumbai-chai,MERGE,Mumbai Chai Black Tea,"Category_Tea, Type_Chai",MERGE,All Teas; Chai,active,TRUE,"Black, spiced chai blend",,,,,,"Assam, India",,,"<p>If Masala Chai is the classic, Mumbai Chai is what happens when you turn it up. More cardamom. More ginger. More of everything that makes a chai worth drinking. Brew it strong, add steamed milk, and don&#x27;t be surprised when it becomes the only chai you reach for.</p>","Bold, spicy, warming — cardamom forward with a ginger kick",Morning or anytime you need something with a bit more fire
organic-assam-black-tea,MERGE,Organic Assam Black Tea,"Category_Tea, Type_Black Tea",MERGE,All Teas; Black Tea,active,TRUE,Black,,,,,,"Assam, India",,,"<p>One ingredient, one origin, one of the best black teas in the world. Bold, malty, and deeply full-bodied, our single origin Assam does exactly what great tea should do. No additives, no shortcuts, just the leaf doing what it does best.</p>","Bold, malty, rich with a smooth finish",Morning with or without milk
organic-hemp-berry-infusion,MERGE,Organic Hemp Berry Infusion,"Category_Tea, Function_Immunity",MERGE,All Teas; Immunity,active,TRUE,,,,,,,,,,,,
organic-immunity-herbal-tea,MERGE,Organic Immunity Herbal Tea,"Category_Tea, Function_Immunity, Type_Herbal Tea",MERGE,All Teas; Herbal Tea; Immunity,active,TRUE,"Herbal, caffeine free",,,,,,,,,,,
organic-turmeric-herbal-tea,MERGE,Organic Turmeric Herbal Tea,"Category_Tea, Function_Detox, Function_Immunity, Type_Herbal Tea",MERGE,All Teas; Detox; Herbal Tea; Immunity,active,TRUE,"Herbal, caffeine free",,,,,,India,,,"<p>Two ingredients. Thousands of years of tradition. Organic turmeric and black pepper, a pairing trusted for centuries for good reason. Earthy, warming, and caffeine free. The cup that quietly earns its place in your routine.</p>","Earthy, warm, lightly spiced with a gentle pepper finish",Morning or afternoon on its own or with a touch of honey
passion-berry-iced-tea,MERGE,Passion Berry Iced Tea,"Category_Tea, Type_Iced Tea",MERGE,All Teas; Iced Tea,active,TRUE,"Herbal, iced, caffeine free",,,,,,,,,"<p>Tropical, berry-forward, and made for warm days. Rooibos meets a bold berry blend for a naturally sweet, caffeine free brew that&#x27;s as vibrant as it tastes. Cold brew it overnight and you will have the best thing in your fridge. Guaranteed.</p>","Berry, tropical, naturally sweet with a smooth rooibos base",Cold over ice afternoon or evening
peach-mango-tango-green-tea,MERGE,Peach Mango Tango Green Tea,"Category_Tea, Type_Green Tea",MERGE,All Teas; Green Tea,active,TRUE,"Green Tea, flavoured",,,,,,Japan,,,"<p>Sweet, fruity, and exactly what it promises. Smooth Sencha meets juicy mango and sun-ripened peach for a cup that&#x27;s bright, tropical, and impossible not to love. Hot or cold brewed, it&#x27;s a vibe either way.</p>","Sweet, fruity, tropical with a light green tea base","Afternoon, hot or cold brewed over ice"
rainbow-rain-green-tea,MERGE,Rainbow Rain Green Tea,"Category_Tea, Type_Green Tea",MERGE,All Teas; Green Tea,active,TRUE,"Green Tea, flavoured",,,,,,Japan,,,"<p>Bold berries meet smooth Sencha and the result is a cup that&#x27;s as vibrant as it looks. Elderberries, blackcurrant, and blueberries give this blend a naturally sweet, floral depth that you didn&#x27;t know you needed. Hot or cold brewed, it&#x27;s always a good idea.</p>","Floral, berry-forward, lightly sweet with a clean green tea finish","Morning or afternoon, on its own or cold brewed over ice"
red-roses-black-tea,MERGE,Red Roses Black Tea,"Category_Tea, Type_Black Tea",MERGE,All Teas; Black Tea,active,TRUE,"Black, floral",,,,,,India,,,"<p>Quietly luxurious and worth every sip. Organic black tea blended with real rose petals for a cup that&#x27;s floral, smooth, and just a little bit special. Beautiful enough to gift, good enough to keep entirely for yourself.</p>","Floral, lightly sweet, smooth with a gentle astringency",Morning or afternoon on its own or with a touch of honey
relax-hemp-tea,MERGE,Relax Hemp Tea,"Category_Tea, Function_Wind down",MERGE,All Teas; Wind down,active,TRUE,,,,,,,,,,,,
roots-and-chai-wellness-tea,MERGE,Roots and Chai Wellness Tea,"Category_Tea, Function_Gut Reset",MERGE,All Teas; Gut Reset,active,TRUE,,,,,,,,,,,,
serenity-wellness-tea,MERGE,Serenity Wellness Tea,"Category_Tea, Function_Wind down",MERGE,All Teas; Wind down,active,TRUE,,,,,,,,,,,,
supreme-matcha,MERGE,Organic Supreme Matcha Green Tea Powder,"Category_Tea, Function_Focus and Energy, Type_Matcha",MERGE,All Teas; Focus and Energy; Matcha,active,TRUE,"Green, Matcha supreme grade",,,,,,Japan,,,"<p>Japan has been perfecting matcha for centuries, and ours starts the same way - shade-grown, stone-ground, nothing added. Smooth enough for a quiet morning cup, versatile enough for lattes, smoothies, and baking. Whatever you&#x27;re making, it makes it better.</p>","Smooth, vegetal, lightly sweet with a clean finish","As a daily matcha, latte, or in baking and smoothies"
think-hemp-tea,MERGE,Think Hemp Tea,"Category_Tea, Function_Focus and Energy",MERGE,All Teas; Focus and Energy,active,TRUE,,,,,,,,,,,,
tropical-sunshine-green-tea,MERGE,Tropical Sunshine Green Tea,"Category_Tea, Type_Green Tea",MERGE,All Teas; Green Tea,active,TRUE,"Green Tea, flavoured",,,,,,Japan,,,"<p>One sip and you are somewhere warmer. Orange peel, pineapple, and calendula petals blended with smooth Sencha for a bright, citrusy cup that&#x27;s pure tropical energy. Summer in a cup, all year round.</p>","Citrus, tropical, lightly sweet with a fresh green tea base","Afternoon, hot or cold brewed over ice"
wine-berry-herbal-iced-tea,MERGE,Wine Berry Iced Tea,"Category_Tea, Type_Iced Tea",MERGE,All Teas; Iced Tea,active,TRUE,,,,,,,,,,,,
wine-berry-herbal-tea,MERGE,Wine Berry Herbal Tea,"Category_Tea, Function_Detox, Type_Herbal Tea",MERGE,All Teas; Detox; Herbal Tea,active,TRUE,"Herbal, caffeine free",,,,,,,,,"<p>Full-bodied, fruity, and unapologetically bold. Hibiscus, rosehips, blackcurrant, and cranberries come together in a deep ruby brew that drinks like something special. Caffeine free and naturally vibrant, the one you pull out when you want something that actually feels like a moment.</p>","Full body, fruity, deep hibiscus with a berry finish",Evening or anytime on its own or over ice
yellow-mellow-mint-herbal-tea,MERGE,Mellow Mint Herbal Tea,"Category_Tea, Function_Detox, Function_Gut Reset, Function_Wind down, Type_Herbal Tea",MERGE,All Teas; Detox; Gut Reset; Herbal Tea; Wind down,active,TRUE,,,,,,,,,,,,
